frame_number,frame_path,game_time,period,play_clock,imputed_game_time,imputed_period,imputed_play_clock,original_game_time,original_period,original_play_clock,imputation_confidence,imputation_method,imputation_timestamp
73,data/frames/game_6/frame_000073.jpg,00:19,1ST,39,True,False,False,,1ST,39,0.70,forward_extrapolation,2025-11-13 21:45:30.755446
74,data/frames/game_6/frame_000074.jpg,00:19,1ST,39,True,False,False,,1ST,39,0.70,forward_extrapolation,2025-11-13 21:45:30.755446
75,data/frames/game_6/frame_000075.jpg,00:18,1ST,38,True,False,False,,1ST,38,0.70,forward_extrapolation,2025-11-13 21:45:30.755446
76,data/frames/game_6/frame_000076.jpg,00:18,1ST,38,True,False,False,,1ST,38,0.70,forward_extrapolation,2025-11-13 21:45:30.755446
77,data/frames/game_6/frame_000077.jpg,00:17,1ST,37,False,False,False,00:17,1ST,37,0.00,,2025-11-13 21:45:30.755446
78,data/frames/game_6/frame_000078.jpg,00:16,1ST,37,True,False,False,,1ST,37,0.90,linear_interpolation,2025-11-13 21:45:30.755446
79,data/frames/game_6/frame_000079.jpg,00:16,1ST,36,True,False,False,,1ST,36,0.90,linear_interpolation,2025-11-13 21:45:30.755446
80,data/frames/game_6/frame_000080.jpg,00:15,1ST,36,True,False,False,,1ST,36,0.90,linear_interpolation,2025-11-13 21:45:30.755446
81,data/frames/game_6/frame_000081.jpg,00:15,1ST,35,True,False,False,,1ST,35,0.90,linear_interpolation,2025-11-13 21:45:30.755446
82,data/frames/game_6/frame_000082.jpg,00:14,1ST,35,True,False,False,,1ST,35,0.90,linear_interpolation,2025-11-13 21:45:30.755446
83,data/frames/game_6/frame_000083.jpg,00:14,1ST,34,True,False,False,,1ST,34,0.90,linear_interpolation,2025-11-13 21:45:30.755446
84,data/frames/game_6/frame_000084.jpg,00:13,1ST,34,True,False,False,,1ST,34,0.90,linear_interpolation,2025-11-13 21:45:30.755446
85,data/frames/game_6/frame_000085.jpg,00:13,1ST,33,True,False,False,,1ST,33,0.90,linear_interpolation,2025-11-13 21:45:30.755446
86,data/frames/game_6/frame_000086.jpg,00:12,1ST,33,True,False,False,,1ST,33,0.90,linear_interpolation,2025-11-13 21:45:30.755446
87,data/frames/game_6/frame_000087.jpg,00:12,1ST,32,False,False,False,00:12,1ST,32,0.00,,2025-11-13 21:45:30.755446
88,data/frames/game_6/frame_000088.jpg,00:11,1ST,32,True,False,False,,1ST,32,0.90,linear_interpolation,2025-11-13 21:45:30.755446
89,data/frames/game_6/frame_000089.jpg,00:11,1ST,31,True,False,False,,1ST,31,0.90,linear_interpolation,2025-11-13 21:45:30.755446
90,data/frames/game_6/frame_000090.jpg,00:10,1ST,31,True,False,False,,1ST,31,0.90,linear_interpolation,2025-11-13 21:45:30.755446
91,data/frames/game_6/frame_000091.jpg,00:10,1ST,30,False,False,False,00:10,1ST,30,0.00,,2025-11-13 21:45:30.755446
92,data/frames/game_6/frame_000092.jpg,00:10,1ST,30,False,False,False,00:10,1ST,30,0.00,,2025-11-13 21:45:30.755446
93,data/frames/game_6/frame_000093.jpg,00:09,1ST,29,False,False,False,00:09,1ST,29,0.00,,2025-11-13 21:45:30.755446
94,data/frames/game_6/frame_000094.jpg,00:09,1ST,29,False,False,False,00:09,1ST,29,0.00,,2025-11-13 21:45:30.755446
95,data/frames/game_6/frame_000095.jpg,00:08,1ST,40,False,False,False,00:08,1ST,40,0.00,,2025-11-13 21:45:30.755446
96,data/frames/game_6/frame_000096.jpg,00:08,1ST,40,False,False,False,00:08,1ST,40,0.00,,2025-11-13 21:45:30.755446
97,data/frames/game_6/frame_000097.jpg,00:07,1ST,40,False,False,False,00:07,1ST,40,0.00,,2025-11-13 21:45:30.755446
98,data/frames/game_6/frame_000098.jpg,00:07,1ST,40,False,False,False,00:07,1ST,40,0.00,,2025-11-13 21:45:30.755446
99,data/frames/game_6/frame_000099.jpg,00:06,1ST,40,False,False,False,00:06,1ST,40,0.00,,2025-11-13 21:45:30.755446
100,data/frames/game_6/frame_000100.jpg,00:06,1ST,40,False,False,False,00:06,1ST,40,0.00,,2025-11-13 21:45:30.755446
101,data/frames/game_6/frame_000101.jpg,00:05,1ST,40,False,False,False,00:05,1ST,40,0.00,,2025-11-13 21:45:30.755446
102,data/frames/game_6/frame_000102.jpg,00:05,1ST,40,False,False,False,00:05,1ST,40,0.00,,2025-11-13 21:45:30.755446
103,data/frames/game_6/frame_000103.jpg,00:04,1ST,40,True,False,False,,1ST,40,0.90,linear_interpolation,2025-11-13 21:45:30.755446
104,data/frames/game_6/frame_000104.jpg,00:04,1ST,40,False,False,False,00:04,1ST,40,0.00,,2025-11-13 21:45:30.755446
105,data/frames/game_6/frame_000105.jpg,00:03,1ST,40,False,False,False,00:03,1ST,40,0.00,,2025-11-13 21:45:30.755446
