frame_number,frame_path,game_time,period,play_clock,imputed_game_time,imputed_period,imputed_play_clock,original_game_time,original_period,original_play_clock,imputation_confidence,imputation_method,imputation_timestamp,expected_game_time,expected_period,expected_play_clock,matched_game_time,matched_period,matched_play_clock
1310,data/frames/game_6/frame_001310.jpg,11:04,2ND,14.0,False,False,False,11:04,2ND,14.0,0.0,,45:30.8,11:04,2ND,14.0,False,False,False
1311,data/frames/game_6/frame_001311.jpg,11:04,2ND,14.0,False,False,False,11:04,2ND,14.0,0.0,,45:30.8,11:04,2ND,14.0,False,False,False
1312,data/frames/game_6/frame_001312.jpg,11:04,2ND,13.0,False,False,False,11:04,2ND,13.0,0.0,,45:30.8,11:04,2ND,13.0,False,False,False
1313,data/frames/game_6/frame_001313.jpg,11:04,2ND,13.0,False,False,False,11:04,2ND,13.0,0.0,,45:30.8,11:04,2ND,13.0,False,False,False
1314,data/frames/game_6/frame_001314.jpg,11:04,2ND,12.0,False,False,False,11:04,2ND,12.0,0.0,,45:30.8,11:04,2ND,12.0,False,False,False
1315,data/frames/game_6/frame_001315.jpg,11:04,2ND,40.0,False,False,False,11:04,2ND,40.0,0.0,,45:30.8,11:04,2ND,40.0,False,False,False
1316,data/frames/game_6/frame_001316.jpg,11:04,2ND,40.0,False,False,False,11:04,2ND,40.0,0.0,,45:30.8,11:04,2ND,40.0,False,False,False
1317,data/frames/game_6/frame_001317.jpg,11:03,2ND,40.0,False,False,False,11:03,2ND,40.0,0.0,,45:30.8,11:03,2ND,40.0,False,False,False
1318,data/frames/game_6/frame_001318.jpg,11:03,2ND,40.0,False,False,False,11:03,2ND,40.0,0.0,,45:30.8,11:03,2ND,40.0,False,False,False
1319,data/frames/game_6/frame_001319.jpg,11:03,2ND,40.0,False,False,False,11:03,2ND,40.0,0.0,,45:30.8,11:03,2ND,40.0,False,False,False
1320,data/frames/game_6/frame_001320.jpg,11:03,2ND,40.0,False,False,False,11:03,2ND,40.0,0.0,,45:30.8,11:03,2ND,40.0,False,False,False
1321,data/frames/game_6/frame_001321.jpg,11:03,2ND,40.0,False,False,False,11:03,2ND,40.0,0.0,,45:30.8,11:03,2ND,40.0,False,False,False
1322,data/frames/game_6/frame_001322.jpg,11:03,2ND,40.0,False,False,False,11:03,2ND,40.0,0.0,,45:30.8,11:03,2ND,40.0,False,False,False
1323,data/frames/game_6/frame_001323.jpg,11:03,2ND,25.0,True,False,False,1:03,2ND,25.0,0.9,anomaly_correction,45:30.8,11:03,2ND,25.0,True,False,False
1324,data/frames/game_6/frame_001324.jpg,11:03,2ND,25.0,True,False,False,1:03,2ND,25.0,0.9,anomaly_correction,45:30.8,11:03,2ND,25.0,True,False,False
1325,data/frames/game_6/frame_001325.jpg,11:03,2ND,25.0,True,False,False,1:03,2ND,25.0,0.9,anomaly_correction,45:30.8,11:03,2ND,25.0,True,False,False
1326,data/frames/game_6/frame_001326.jpg,11:03,2ND,25.0,True,False,False,1:03,2ND,25.0,0.9,anomaly_correction,45:30.8,11:03,2ND,25.0,True,False,False
1327,data/frames/game_6/frame_001327.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1328,data/frames/game_6/frame_001328.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1329,data/frames/game_6/frame_001329.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1330,data/frames/game_6/frame_001330.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1331,data/frames/game_6/frame_001331.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1332,data/frames/game_6/frame_001332.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1333,data/frames/game_6/frame_001333.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1334,data/frames/game_6/frame_001334.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1335,data/frames/game_6/frame_001335.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1336,data/frames/game_6/frame_001336.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1337,data/frames/game_6/frame_001337.jpg,11:03,2ND,25.0,True,False,False,1:03,2ND,25.0,0.9,anomaly_correction,45:30.8,11:03,2ND,25.0,True,False,False
1338,data/frames/game_6/frame_001338.jpg,11:03,2ND,25.0,True,False,False,1:03,2ND,25.0,0.9,anomaly_correction,45:30.8,11:03,2ND,25.0,True,False,False
1339,data/frames/game_6/frame_001339.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1340,data/frames/game_6/frame_001340.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1341,data/frames/game_6/frame_001341.jpg,11:03,2ND,25.0,True,False,False,1:03,2ND,25.0,0.9,anomaly_correction,45:30.8,11:03,2ND,25.0,True,False,False
1342,data/frames/game_6/frame_001342.jpg,11:03,2ND,25.0,True,False,False,1:03,2ND,25.0,0.9,anomaly_correction,45:30.8,11:03,2ND,25.0,True,False,False
1343,data/frames/game_6/frame_001343.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1344,data/frames/game_6/frame_001344.jpg,11:03,2ND,25.0,True,False,False,1:03,2ND,25.0,0.9,anomaly_correction,45:30.8,11:03,2ND,25.0,True,False,False
1345,data/frames/game_6/frame_001345.jpg,11:03,2ND,25.0,True,False,False,1:03,2ND,25.0,0.9,anomaly_correction,45:30.8,11:03,2ND,25.0,True,False,False
1346,data/frames/game_6/frame_001346.jpg,11:03,2ND,25.0,True,False,False,1:03,2ND,25.0,0.9,anomaly_correction,45:30.8,11:03,2ND,25.0,True,False,False
1347,data/frames/game_6/frame_001347.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1348,data/frames/game_6/frame_001348.jpg,11:03,2ND,25.0,True,False,False,1:03,2ND,25.0,0.9,anomaly_correction,45:30.8,11:03,2ND,25.0,True,False,False
1349,data/frames/game_6/frame_001349.jpg,11:03,2ND,25.0,True,False,False,1:03,2ND,25.0,0.9,anomaly_correction,45:30.8,11:03,2ND,25.0,True,False,False
1350,data/frames/game_6/frame_001350.jpg,11:03,2ND,25.0,True,False,False,1:03,2ND,25.0,0.9,anomaly_correction,45:30.8,11:03,2ND,25.0,True,False,False
1351,data/frames/game_6/frame_001351.jpg,11:03,2ND,25.0,True,False,False,1:03,2ND,25.0,0.9,anomaly_correction,45:30.8,11:03,2ND,25.0,True,False,False
1352,data/frames/game_6/frame_001352.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1353,data/frames/game_6/frame_001353.jpg,11:03,2ND,25.0,True,False,False,1:03,2ND,25.0,0.9,anomaly_correction,45:30.8,11:03,2ND,25.0,True,False,False
1354,data/frames/game_6/frame_001354.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1355,data/frames/game_6/frame_001355.jpg,11:03,2ND,25.0,True,False,False,1:03,2ND,25.0,0.9,anomaly_correction,45:30.8,11:03,2ND,25.0,True,False,False
1356,data/frames/game_6/frame_001356.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1357,data/frames/game_6/frame_001357.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1358,data/frames/game_6/frame_001358.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1359,data/frames/game_6/frame_001359.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1360,data/frames/game_6/frame_001360.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1361,data/frames/game_6/frame_001361.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1362,data/frames/game_6/frame_001362.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1363,data/frames/game_6/frame_001363.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1364,data/frames/game_6/frame_001364.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1365,data/frames/game_6/frame_001365.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1366,data/frames/game_6/frame_001366.jpg,11:03,2ND,25.0,False,False,False,11:03,2ND,25.0,0.0,,45:30.8,11:03,2ND,25.0,False,False,False
1367,data/frames/game_6/frame_001367.jpg,11:03,2ND,25.0,True,False,False,1:03,2ND,25.0,0.9,anomaly_correction,45:30.8,11:03,2ND,25.0,True,False,False
